matchResult,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,shootTotal,effectiveShootTotal,ownGoal,goalTotal,goalSuccessRate,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passSuccessRate,shortpassSuccessRate,longPassSuccessRate,bouncingLobPassSuccessRate,drivenGroundPassSuccessRate,throughPassSuccessRate,lobbedThroughPassSuccessRate,blockSuccessRate,tackleSuccessRate,shootSetPiece,shootPenaltyKick,effectiveShootTotal,goalPenaltyKick,ownGoal
3,1,0,0,0,57,1,50,6,5,0,2,0.333333333,1,0,0,0,3,1,2,1,0,0,0.909090909,0.971428571,0.5,0,1,0.9,0.5,0.25,0.714285714,1,0,5,0,0
3,0,1,0,0,65,1,51,4,4,0,2,0.5,0,0,0,0,3,1,0,0,1,1,0.902912621,0.904109589,0.666666667,0,0.928571429,0.923076923,0,0,0.916666667,1,1,4,1,0
0,0,0,0,0,73,3,48,7,6,0,4,0.571428571,1,0,0,0,6,4,1,0,0,0,0.917431193,1,0.384615385,0,1,0.9375,1,0.2,0.6,3,0,6,0,0
3,0,0,0,0,70,2,58,6,3,0,1,0.166666667,0,0,0,0,6,1,0,0,0,0,0.897727273,0.983050847,0.4,0,1,0.846153846,0,0,0.733333333,2,0,3,0,0
3,1,0,0,0,46,0,38,4,2,0,1,0.25,0,0,0,0,3,0,1,1,0,0,0.941176471,0.916666667,1,0,1,1,0,0,0.769230769,0,0,2,0,0
3,0,1,0,0,91,1,48,3,3,0,2,0.666666667,0,0,0,0,3,2,0,0,0,0,0.937007874,0.978947368,0.333333333,0,1,0.8,1,0.25,0.733333333,1,0,3,0,0
0,0,1,0,0,64,2,47,4,3,0,2,0.5,0,0,0,0,3,1,0,0,1,1,0.922222222,1,0.166666667,1,1,1,0,0.166666667,0.777777778,2,1,3,1,0
3,1,0,0,0,50,1,49,5,5,0,3,0.6,2,1,0,0,4,2,1,1,0,0,0.911392405,0.964285714,0.5,0,0.857142857,0.909090909,0,0,0.538461538,1,0,5,0,0
3,1,0,0,0,72,1,44,6,3,0,1,0.166666667,0,0,0,0,2,0,4,1,0,0,0.8828125,0.955555556,0.428571429,0,0.923076923,0.8,0,0.2,0.692307692,1,0,3,0,0
3,1,1,0,0,72,4,54,10,8,0,3,0.3,3,0,0,0,8,3,2,0,0,0,0.943396226,1,0.444444444,0,1,1,0,0,0.625,4,0,8,0,0
0,0,0,0,0,52,4,46,8,4,0,0,0,4,0,0,0,6,0,1,0,1,0,0.91954023,1,0.666666667,0,1,0.8,0,0,0.857142857,4,1,4,0,0
3,0,1,0,0,92,2,56,12,8,0,2,0.166666667,3,1,0,0,10,2,2,0,0,0,0.939849624,0.96,0.833333333,0,1,0.928571429,0,0.1,0.846153846,2,0,8,0,0
3,1,0,0,0,63,1,50,7,7,0,4,0.571428571,1,0,0,0,6,3,1,1,0,0,0.910891089,0.957142857,0.666666667,0,0.833333333,0.842105263,0,0,0.833333333,1,0,7,0,0
3,0,0,0,0,61,0,49,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.947916667,0.986842105,0,0,1,0.777777778,0,0,0.636363636,0,0,1,0,0
0,1,0,0,0,78,1,64,6,5,0,1,0.166666667,1,0,0,0,5,1,1,0,0,0,0.976190476,1,0.8,0,1,0.833333333,0,0,0.777777778,1,0,5,0,0
3,2,0,0,1,39,3,38,6,3,0,1,0.166666667,0,0,1,0,2,0,4,1,0,0,0.862068966,0.941176471,0.2,1,1,0.909090909,1,0.222222222,0.625,4,0,3,0,0
3,0,1,0,0,76,3,55,10,10,0,5,0.5,3,1,0,0,7,3,3,2,0,0,0.92,0.984615385,0.5,0,1,0.764705882,0,0,0.857142857,3,0,10,0,0
3,1,0,0,0,71,0,49,3,2,0,2,0.666666667,0,0,0,0,3,2,0,0,0,0,0.942857143,1,0.25,0,1,1,0,0,0.846153846,0,0,2,0,0
3,0,0,0,0,61,1,50,7,6,0,4,0.571428571,2,0,0,0,7,4,0,0,0,0,0.947916667,0.984848485,1,1,0.875,0.823529412,1,0.333333333,0.888888889,1,0,6,0,0
0,0,0,0,0,63,5,54,4,3,0,0,0,2,0,0,0,3,0,1,0,0,0,0.871559633,0.9875,0.1,0,0.9,0.75,0,0.125,0.9,5,0,3,0,0
3,1,1,0,0,68,2,51,7,7,0,6,0.857142857,1,1,0,0,7,6,0,0,0,0,0.934782609,0.96969697,0.333333333,0,1,1,0.5,0.222222222,0.714285714,2,0,7,0,0
0,2,1,0,1,68,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943396226,0.975308642,0,0,0.916666667,0.818181818,1,0.333333333,0.571428571,0,0,0,0,0
3,0,0,0,0,86,1,52,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.911111111,0.967391304,0.5,1,1,0.909090909,0,0,0.764705882,1,0,1,0,0
3,1,0,0,0,79,1,49,5,4,0,2,0.4,1,0,0,0,5,2,0,0,0,0,0.907692308,0.977272727,0.636363636,0,1,0.714285714,1,0,0.727272727,1,0,4,0,0
3,2,0,0,0,53,1,44,6,4,0,4,0.666666667,1,1,1,0,5,4,1,0,0,0,0.881578947,0.960784314,0.5,1,0.666666667,0.75,1,0.142857143,0.733333333,2,0,4,0,0
0,0,1,0,0,55,2,46,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.883116883,0.960784314,0,0,0.875,0.923076923,0,0.4,0.875,2,0,2,0,0
0,0,0,0,0,96,2,56,8,6,0,2,0.25,2,0,0,0,4,0,4,2,0,0,0.917721519,0.974358974,0.363636364,0,0.9375,0.923076923,0,0.333333333,0.846153846,2,0,6,0,0
1,0,0,0,0,50,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986842105,0.981132075,1,0,1,1,0,0,0.555555556,0,0,0,0,0
