matchResult,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,shootTotal,effectiveShootTotal,goalTotal,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
3,1,0,0,0,57,1,50,6,5,2,0,1,0,0,0,3,1,2,1,0,0,99,90,70,68,6,3,1,0,9,9,10,9,2,1,4,1,7,5
3,0,1,0,0,65,1,51,4,4,2,0,0,0,0,0,3,1,0,0,1,1,103,93,73,66,3,2,0,0,14,13,13,12,0,0,7,0,12,11
0,0,0,0,0,73,3,48,7,6,4,0,1,0,0,0,6,4,1,0,0,0,109,100,71,71,13,5,0,0,8,8,16,15,1,1,5,1,5,3
3,0,0,0,0,70,2,58,6,3,1,0,0,0,0,0,6,1,0,0,0,0,88,79,59,58,5,2,2,0,8,8,13,11,0,0,3,0,15,11
3,1,0,0,0,46,0,38,4,2,1,0,0,0,0,0,3,0,1,1,0,0,68,64,48,44,1,1,0,0,8,8,11,11,0,0,5,0,13,10
3,0,1,0,0,91,1,48,3,3,2,0,0,0,0,0,3,2,0,0,0,0,127,119,95,93,3,1,0,0,12,12,15,12,1,1,4,1,15,11
0,0,1,0,0,64,2,47,4,3,2,0,0,0,0,0,3,1,0,0,1,1,90,83,63,63,6,1,1,1,5,5,13,13,1,0,6,1,9,7
3,1,0,0,0,50,1,49,5,5,3,0,2,1,0,0,4,2,1,1,0,0,79,72,56,54,4,2,1,0,7,6,11,10,0,0,4,0,13,7
3,1,0,0,0,72,1,44,6,3,1,0,0,0,0,0,2,0,4,1,0,0,128,113,90,86,7,3,2,0,13,12,15,12,0,0,10,2,13,9
3,1,1,0,0,72,4,54,10,8,3,0,3,0,0,0,8,3,2,0,0,0,106,100,77,77,9,4,1,0,11,11,8,8,0,0,3,0,8,5
0,0,0,0,0,52,4,46,8,4,0,0,4,0,0,0,6,0,1,0,1,0,87,80,59,59,9,6,0,0,3,3,15,12,1,0,13,0,7,6
3,0,1,0,0,92,2,56,12,8,2,0,3,1,0,0,10,2,2,0,0,0,133,125,100,96,6,5,1,0,11,11,14,13,0,0,10,1,13,11
3,1,0,0,0,63,1,50,7,7,4,0,1,0,0,0,6,3,1,1,0,0,101,92,70,67,6,4,0,0,6,5,19,16,0,0,10,0,6,5
3,0,0,0,0,61,0,49,1,1,1,0,0,0,0,0,0,0,1,1,0,0,96,91,76,75,2,0,0,0,9,9,9,7,0,0,4,0,11,7
0,1,0,0,0,78,1,64,6,5,1,0,1,0,0,0,5,1,1,0,0,0,126,123,95,95,5,4,0,0,14,14,12,10,0,0,4,0,9,7
3,2,0,0,1,39,3,38,6,3,1,0,0,0,1,0,2,0,4,1,0,0,58,50,34,32,5,1,1,1,5,5,11,10,1,1,9,2,16,10
3,0,1,0,0,76,3,55,10,10,5,0,3,1,0,0,7,3,3,2,0,0,100,92,65,64,6,3,0,0,12,12,17,13,0,0,2,0,7,6
3,1,0,0,0,71,0,49,3,2,2,0,0,0,0,0,3,2,0,0,0,0,105,99,81,81,4,1,0,0,9,9,8,8,0,0,5,0,13,11
3,0,0,0,0,61,1,50,7,6,4,0,2,0,0,0,7,4,0,0,0,0,96,91,66,65,3,3,1,1,8,7,17,14,1,1,3,1,9,8
0,0,0,0,0,63,5,54,4,3,0,0,2,0,0,0,3,0,1,0,0,0,109,95,80,79,10,1,1,0,10,9,8,6,0,0,8,1,10,9
3,1,1,0,0,68,2,51,7,7,6,0,1,1,0,0,7,6,0,0,0,0,92,86,66,64,3,1,0,0,9,9,11,11,2,1,9,2,7,5
0,2,1,0,1,68,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,100,81,79,1,0,0,0,12,11,11,9,1,1,3,1,7,4
3,0,0,0,0,86,1,52,2,1,0,0,0,0,0,0,1,0,1,0,0,0,135,123,92,89,14,7,1,1,16,16,11,10,1,0,5,0,17,13
3,1,0,0,0,79,1,49,5,4,2,0,1,0,0,0,5,2,0,0,0,0,130,118,88,86,11,7,0,0,9,9,21,15,1,1,5,0,11,8
3,2,0,0,0,53,1,44,6,4,4,0,1,1,1,0,5,4,1,0,0,0,76,67,51,49,4,2,1,1,3,2,16,12,1,1,7,1,15,11
0,0,1,0,0,55,2,46,2,2,0,0,0,0,0,0,2,0,0,0,0,0,77,68,51,49,4,0,0,0,8,7,13,12,0,0,10,4,8,7
0,0,0,0,0,96,2,56,8,6,2,0,2,0,0,0,4,0,4,2,0,0,158,145,117,114,11,4,1,0,16,15,13,12,0,0,3,1,13,11
1,0,0,0,0,50,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,75,53,52,2,2,0,0,13,13,8,8,0,0,12,0,9,5
3,0,0,0,0,66,1,49,5,3,2,0,0,0,1,0,2,1,2,0,1,1,90,84,74,72,4,1,0,0,6,6,6,5,0,0,7,1,11,8
3,0,0,0,0,59,4,52,7,6,2,0,1,0,0,0,7,2,0,0,0,0,97,85,59,59,7,1,1,1,16,13,14,11,0,0,2,1,9,7
0,0,0,0,0,73,2,55,6,4,1,0,1,0,0,0,6,1,0,0,0,0,114,108,80,78,9,5,0,0,10,10,14,14,1,1,3,0,10,8
0,2,0,0,0,56,0,42,1,1,1,0,0,0,0,0,0,1,0,0,0,0,84,77,66,64,0,0,0,0,5,4,12,9,1,0,9,0,15,12
0,1,0,0,0,58,1,48,3,1,0,0,0,0,0,0,2,0,1,0,0,0,93,85,65,63,5,1,0,0,9,8,14,13,0,0,8,1,12,10
3,0,0,0,0,62,0,48,2,2,1,0,0,0,0,0,1,1,0,0,1,0,84,77,58,57,5,3,0,0,11,10,9,7,0,0,2,1,7,5
3,1,0,0,0,73,0,55,5,3,2,0,1,0,0,0,1,1,4,1,0,0,107,100,75,74,2,1,1,0,16,15,12,10,0,0,6,0,10,8
1,1,1,0,0,56,0,48,3,3,2,0,0,1,0,0,2,2,0,0,0,0,116,111,82,81,6,3,0,0,15,15,13,12,0,0,6,1,5,4
0,1,0,0,0,60,0,48,3,1,0,0,1,0,0,0,3,0,0,0,0,0,92,85,66,66,6,3,1,0,7,7,12,9,0,0,7,0,11,7
3,0,0,0,0,53,2,47,5,3,3,0,1,1,0,0,4,3,1,0,0,0,73,69,44,44,4,2,1,1,16,16,8,6,0,0,8,0,8,2
1,0,0,0,0,52,3,47,2,1,0,0,0,0,0,0,2,0,0,0,0,0,102,90,71,68,7,0,1,0,9,8,13,13,1,1,2,0,9,5
3,2,0,0,1,77,1,59,9,8,4,0,1,0,0,0,6,3,2,1,0,0,108,104,84,81,3,3,0,0,12,12,8,8,1,0,3,0,12,5
3,2,0,0,0,61,1,48,7,5,3,0,1,0,1,0,4,2,2,0,1,1,90,85,65,64,3,2,0,0,8,8,12,10,1,1,6,0,14,11
0,1,0,0,0,51,3,48,6,4,1,0,2,0,0,0,4,0,2,1,0,0,101,92,68,67,11,5,0,0,13,13,7,7,0,0,8,0,5,5
3,1,0,0,0,81,7,54,13,8,2,0,1,0,0,0,8,2,5,0,0,0,120,103,78,76,14,2,1,0,6,5,20,19,1,1,3,0,12,9
0,0,0,0,0,66,1,51,3,2,1,0,1,1,1,0,2,1,1,0,0,0,108,103,73,73,2,1,1,0,13,13,19,16,0,0,6,1,9,8
3,2,0,0,0,56,1,46,5,5,4,0,0,0,0,0,2,2,0,1,2,1,86,80,62,61,4,2,1,1,6,5,11,11,1,0,4,0,12,9
3,1,1,0,0,58,0,48,2,2,2,0,0,0,0,0,1,1,1,1,0,0,97,90,72,65,2,2,0,0,5,5,18,18,0,0,7,2,7,6
0,1,0,0,0,58,0,46,4,3,2,0,1,1,0,0,3,2,1,0,0,0,98,92,74,73,3,1,0,0,7,7,12,11,0,0,2,0,9,4
0,0,0,0,0,84,0,50,5,2,2,0,0,0,1,0,3,2,2,0,0,0,132,124,98,95,5,2,0,0,14,13,15,14,0,0,13,2,14,8
0,2,0,0,1,64,0,47,2,2,1,0,0,0,0,0,0,0,2,1,0,0,86,80,64,62,5,2,0,0,9,9,7,6,1,1,6,1,13,9
3,0,0,0,0,65,1,52,6,4,3,0,0,0,0,0,4,3,2,0,0,0,94,88,69,69,4,2,0,0,5,5,15,12,0,0,5,0,13,9
3,1,0,0,1,50,0,47,3,3,1,0,0,0,0,0,2,1,0,0,1,0,85,80,58,57,1,1,0,0,13,12,12,9,1,1,3,2,12,7
0,2,0,0,1,56,0,48,6,3,0,0,1,0,0,0,4,0,2,0,0,0,94,85,65,61,5,2,1,0,9,9,14,13,0,0,9,1,10,7
0,1,1,0,0,54,2,50,4,2,1,0,2,1,0,0,4,1,0,0,0,0,109,99,77,77,11,5,0,0,7,7,13,10,0,0,10,0,9,5
0,1,0,0,0,59,6,49,8,8,0,0,0,0,0,0,6,0,2,0,0,0,88,73,57,53,11,2,0,0,10,8,10,10,0,0,2,0,10,9
1,1,0,0,0,55,0,45,2,1,1,0,0,0,0,0,2,1,0,0,0,0,71,66,49,49,0,0,1,0,11,11,10,6,0,0,9,1,12,10
0,0,0,0,0,68,1,52,2,1,0,0,0,0,0,0,2,0,0,0,0,0,99,93,67,67,5,1,1,0,12,12,14,13,0,0,4,0,5,5
1,2,0,0,0,58,1,48,3,3,2,0,0,0,0,0,2,1,1,1,0,0,88,76,63,61,7,1,0,0,5,5,11,9,0,0,7,1,10,6
0,1,1,0,0,71,0,46,2,1,1,0,0,0,0,0,2,1,0,0,0,0,127,119,92,88,4,3,0,0,17,16,14,12,0,0,7,0,13,9
3,1,0,0,0,57,0,47,3,3,3,0,1,1,0,0,2,2,1,1,0,0,81,78,62,60,3,3,0,0,6,6,10,9,0,0,9,1,11,5
0,0,1,0,0,68,0,53,2,0,0,0,1,0,0,0,0,0,2,0,0,0,99,94,70,68,8,5,0,0,7,7,14,14,0,0,7,0,7,6
0,1,1,0,0,69,1,51,4,3,1,0,0,0,0,0,3,1,1,0,0,0,98,96,73,72,3,2,0,0,16,16,6,6,0,0,4,0,10,7
3,0,0,0,0,75,3,56,10,8,2,0,1,0,0,0,6,1,3,0,1,1,115,104,88,85,5,1,0,0,9,9,12,9,0,0,5,0,12,6
0,0,0,0,0,53,2,50,3,2,0,0,1,0,0,0,3,0,0,0,0,0,83,73,56,53,5,1,0,0,8,7,14,12,0,0,9,1,8,7
3,0,0,0,0,41,0,44,4,4,4,0,0,0,0,0,3,3,1,1,0,0,82,76,56,54,5,3,2,1,5,5,14,13,0,0,5,0,10,9
0,1,1,0,1,66,2,52,5,4,0,0,1,0,0,0,5,0,0,0,0,0,89,80,60,57,5,1,0,0,11,10,12,11,1,1,1,0,13,10
