matchResult,redCards,yellowCards,possession,shootTotal,goalTotal,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,passTry,passRate,shortPassSuccess,shortpassRate,longpassSuccess,longpassRate,tackleTry,tackleSuccess,shootSetPiece,shootPenaltyKick,effectiveShootTotal,goalPenaltyKick,ownGoal
3,0,0,50,6,2,3,1,2,1,99,0.909090909,68,0.971428571,3,0.5,7,5,1,0,5,0,0
3,0,0,51,4,2,3,1,0,0,103,0.902912621,66,0.904109589,2,0.666666667,12,11,1,1,4,1,0
0,0,0,48,7,4,6,4,1,0,109,0.917431193,71,1,5,0.384615385,5,3,3,0,6,0,0
3,0,0,58,6,1,6,1,0,0,88,0.897727273,58,0.983050847,2,0.4,15,11,2,0,3,0,0
3,0,0,38,4,1,3,0,1,1,68,0.941176471,44,0.916666667,1,1,13,10,0,0,2,0,0
3,0,0,48,3,2,3,2,0,0,127,0.937007874,93,0.978947368,1,0.333333333,15,11,1,0,3,0,0
0,0,0,47,4,2,3,1,0,0,90,0.922222222,63,1,1,0.166666667,9,7,2,1,3,1,0
3,0,0,49,5,3,4,2,1,1,79,0.911392405,54,0.964285714,2,0.5,13,7,1,0,5,0,0
3,0,0,44,6,1,2,0,4,1,128,0.8828125,86,0.955555556,3,0.428571429,13,9,1,0,3,0,0
3,0,0,54,10,3,8,3,2,0,106,0.943396226,77,1,4,0.444444444,8,5,4,0,8,0,0
0,0,0,46,8,0,6,0,1,0,87,0.91954023,59,1,6,0.666666667,7,6,4,1,4,0,0
3,0,0,56,12,2,10,2,2,0,133,0.939849624,96,0.96,5,0.833333333,13,11,2,0,8,0,0
3,0,0,50,7,4,6,3,1,1,101,0.910891089,67,0.957142857,4,0.666666667,6,5,1,0,7,0,0
3,0,0,49,1,1,0,0,1,1,96,0.947916667,75,0.986842105,0,0,11,7,0,0,1,0,0
0,0,0,64,6,1,5,1,1,0,126,0.976190476,95,1,4,0.8,9,7,1,0,5,0,0
3,0,1,38,6,1,2,0,4,1,58,0.862068966,32,0.941176471,1,0.2,16,10,4,0,3,0,0
3,0,0,55,10,5,7,3,3,2,100,0.92,64,0.984615385,3,0.5,7,6,3,0,10,0,0
